,name,id,price,promo_price,brand,url
67,"Indoor сухой корм для кошек с лососем, рисом и яблоками, 1,5 кг",1053912,1589,1589,UNICA,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-indor-s-lososem-risom-i-yablokami.html?offer=146685
68,"Prescription Diet c/d Multicare Urinary Care Сухой диетический корм для кошек при профилактике мочекаменной болезни (мкб), с курицей, 1,5 кг",1003672,3275,3275,Hill's,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_CD_dieticheskiy_suhoy_korm_dlya_koshek_dlya_profilaktiki_MKB_kuritsey.html?offer=45808
69,"Vet Life Struvite Management диетический сухой корм для кошек при мочекаменной болезни, с курицей, 2кг",1043182,3595,3595,Farmina,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/vet-life-natural-diet-cat-management-struvite-400-gr.html?offer=120009
70,"Science Plan Сухой корм для взрослых стерилизованных кошек в возрасте от 1 года до 6 лет, с уткой, 1,5 кг",1042275,2339,2339,Hill's,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/hills-suhoy-korm-dlya-sterilizovannyh-koshek-6mes-6let-s-utkoy-pak-300g.html?offer=117463
71,"Sphynx Adult корм для кошек породы сфинкс старше 12 месяцев, 2 кг",1002779,2555,2555,Royal Canin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Sphynx_33_Adult_suhoy_korm_dlya_koshek_porody_Sfinks.html?offer=41931
72,"Adult In-home Luxury Hairball сухой корм для домашних кошек с курицей, 1,5 кг",1054019,995,995,UNICA,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-domashnih-koshek-s-kuricey.html?offer=146989
73,"Science Plan Сухой корм для взрослых стерилизованных кошек и кастрированных котов, с тунцом, 1,5 кг",1019937,2019,2019,Hill's,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_dlya_sterilizovannyh_koshek_tunets.html?offer=47819
74,"Outdoor сухой корм для кошек с уткой, рисом и апельсинами, 1,5 кг",1053916,1589,1589,UNICA,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-autdor-s-utkoy-risom-i-apelsinami.html?offer=146691
75,"WOW Сухой корм для стерилизованных кошек с индейкой, 1,5 кг",1053736,703,703,AlphaPet,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-indeykoy2.html?offer=146229
76,"Science Plan Сухой корм для взрослых кошек для поддержания жизненной энергии и иммунитета, с курицей, 1,5 кг",1037132,2019,2019,Hill's,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_Standard_suhoy_korm_dlya_koshek_kuritsa.html?offer=104587
77,"Fibre Response FR31 диета для кошек при нарушениях пищеварения, 2 кг",1004588,4079,4079,Royal Canin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Fibre_Response_FR31_dieticheskiy_suhoy_korm_dlya_koshek_pri_zabolevaniyah_GKT.html?offer=42589
78,"Mother and Babycat корм для котят в возрасте от 1 до 4 месяцев и для беременных/лактирующих кошек, 400 г",1002590,515,515,Royal Canin,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Babycat_34_korm_suhoy_korm_dlya_kotyat_ot_1_do_4_mes_i_beremennyh_koshek.html?offer=41927
79,"OCEAN CAT корм сухой для котят, с треской, креветкой, тыквой и дыней, 1,5кг",1050324,3425,3425,Farmina,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-oushen-ket-treska-krevetka-tykva-i-dynya-dlya-kotyat-300g.html?offer=137199
80,"Adult Care Renal Сухой корм для взрослых кошек с хронической почечной недостаточностью, с курицей, 3 кг",1053531,2815,2815,Ownat,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ownat-care-korm-dlya-vzroslyh-koshek-renal-s-kuricey-pak-1-5kg.html?offer=145773
81,"Senior Sterilized Корм сухой для кошек старше 7 лет, с индейкой, 1,5 кг",1054525,1029,1029,Wellkiss,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-senor-steril-s-indeykoy.html?offer=148188
82,"Indoor сухой корм для кошек с ягненком, рисом и горохом, 1,5 кг",1053914,1589,1589,UNICA,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-indor-s-yagnenkom-risom-i-gorohom.html?offer=146688
83,"Prescription Diet i/d Сухой диетический корм для кошек при расстройствах пищеварения, жкт, с курицей, 1,5 кг",1003673,3220,3220,Hill's,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_suhoy_korm_dlya_sobak_melkih_i_karlikovyh_porod_kuritsey.html?offer=42596
84,"Elegant сухой корм для взрослых кошек для здоровья шерсти и кожи с лососем, 1,5 кг",1005199,1869,1869,PRO PLAN®,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_suhoy_korm_dlya_koshek_s_chuvstvitelnoy_kogey_so_vkusomososya_i_risa.html?offer=41895
85,"Prescription Diet Metabolic Сухой диетический корм для кошек, способствующий снижению и контролю веса, с курицей, 1,5 кг",1007385,3985,3985,Hill's,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_Metabolic_dieticheskiy_suhoy_korm_dlya_koshek_dlya_korrektsii_vesa.html?offer=42603
86,"Корм сухой для стерилизованных кошек, с индейкой и курицей, 1,5 кг",1053757,812,812,Sirius,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-indeykoy-i-kuricey.html?offer=146266
87,"Сухой корм для стерилизованных кошек с ягненком и индейкой, 1,5 кг",1053741,1515,1515,AlphaPet,https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-yagnenkom-i-indeykoy.html?offer=146237
